05:33:12.111;fe 00 48 f7 b5 3d 13 43 91 3c 0a;0x600
05:33:12.117;fe 01 2a 91 e1 42 f5 5d 6a 37 0a;0x601
05:33:12.120;fe 02 14 65 b9 41 1a e8 e8 41 0a;0x602
05:33:12.121;fe 30 2e 02 84 82 1e 02 00 00 0a;0x630
05:33:12.124;fe 60 2e 02 b4 11 00 00 00 00 0a;0x660
05:33:12.140;fe 61 00 00 00 00 00 00 00 01 0a;0x661
05:33:12.143;ff 00 00 10 00 00 eb 0b 00 00 0a;0x700
05:33:12.145;ff 01 3c 0c 00 00 65 02 e6 00 0a;0x701
05:33:12.147;ff 02 c1 0f b7 0f b1 0f ba 0f 0a;0x702
05:33:12.149;ff 03 b7 0f b8 0f d6 0f 00 80 0a;0x703
05:33:12.151;ff 04 48 0c 00 00 4c 02 e6 00 0a;0x704
05:33:12.152;ff 05 b7 0f ba 0f bb 0f bf 0f 0a;0x705
05:33:12.154;ff 06 b8 0f c1 0f b6 0f 00 80 0a;0x706
05:33:12.157;ff 07 39 0c 00 00 5f 02 df 00 0a;0x707
05:33:12.159;ff 08 c4 0f c2 0f b3 0f b8 0f 0a;0x708
05:33:12.161;ff 09 cb 0f b3 0f c9 0f 00 80 0a;0x709
05:33:12.164;ff 0b b2 0f b6 0f bb 0f b8 0f 0a;0x70b
05:33:12.167;ff 0c ba 0f ae 0f c6 0f 00 80 0a;0x70c
05:33:12.169;ff f4 00 00 00 00 00 00 80 3f 0a;0x7f4
05:33:12.170;ff f5 00 00 00 00 00 00 00 00 0a;0x7f5
05:33:12.172;ff f6 b4 fc 2a fe 42 fb 2d 00 0a;0x7f6
05:33:12.173;ff f7 5c 04 00 00 59 02 01 00 0a;0x7f7
05:33:12.177;ff f8 ae 0f d6 0f 04 05 01 06 0a;0x7f8
05:33:12.179;ff f9 df 00 e6 00 03 00 01 00 0a;0x7f9
05:33:12.181;ff fa 51 b9 01 00 04 00 00 00 0a;0x7fa
05:33:12.183;ff fb 8a 0c 80 0c 80 04 a3 03 0a;0x7fb
05:33:12.184;ff fc 00 00 00 00 1d 00 6a 00 0a;0x7fc
05:33:12.185;ff fd 80 80 00 00 00 00 00 00 0a;0x7fd
05:33:12.755;fe 00 48 f7 b5 3d 13 43 91 3c 0a;0x600
05:33:12.759;fe 01 2a 91 e1 42 f5 5d 6a 37 0a;0x601
05:33:12.762;fe 02 14 65 b9 41 1a e8 e8 41 0a;0x602
05:33:12.764;fe 30 2f 02 84 82 1e 02 00 00 0a;0x630
05:33:12.766;fe 60 2f 02 b4 11 00 00 00 00 0a;0x660
05:33:12.768;fe 61 00 00 00 00 00 00 00 01 0a;0x661
05:33:12.790;ff 00 00 10 00 00 eb 0b 00 00 0a;0x700
05:33:12.792;ff 01 3c 0c 00 00 65 02 e6 00 0a;0x701
05:33:12.794;ff 02 c1 0f b7 0f b1 0f ba 0f 0a;0x702
05:33:12.798;ff 03 b7 0f b8 0f d6 0f 00 80 0a;0x703
05:33:12.801;ff 04 48 0c 00 00 4b 02 e6 00 0a;0x704
05:33:12.801;ff 05 b7 0f ba 0f bb 0f bf 0f 0a;0x705
05:33:12.804;ff 06 b8 0f c1 0f b6 0f 00 80 0a;0x706
05:33:12.827;ff 07 39 0c 00 00 60 02 df 00 0a;0x707
05:33:12.833;ff 08 c4 0f c2 0f b4 0f b8 0f 0a;0x708
05:33:12.839;ff 09 cb 0f b3 0f c9 0f 00 80 0a;0x709
05:33:12.842;ff 0b b2 0f b6 0f bb 0f b8 0f 0a;0x70b
05:33:12.845;ff 0c ba 0f ae 0f c6 0f 00 80 0a;0x70c
05:33:12.855;ff f4 00 00 00 00 00 00 80 3f 0a;0x7f4
05:33:12.858;ff f5 00 00 00 00 00 00 00 00 0a;0x7f5
05:33:12.862;ff f6 b4 fc 2a fe 42 fb 2d 00 0a;0x7f6
05:33:12.865;ff f7 5c 04 00 00 5a 02 01 00 0a;0x7f7
05:33:12.872;ff f8 ae 0f d6 0f 04 05 01 06 0a;0x7f8
05:33:12.874;ff f9 df 00 e6 00 03 00 01 00 0a;0x7f9
05:33:12.876;ff fa 70 b9 01 00 fe ff ff ff 0a;0x7fa
05:33:12.888;ff fb 8a 0c 80 0c 80 04 a3 03 0a;0x7fb
05:33:12.890;ff fc 00 00 00 00 21 00 6c 00 0a;0x7fc
05:33:12.892;ff fd 80 80 00 00 00 00 00 00 0a;0x7fd
05:33:13.795;fe 00 48 f7 b5 3d 13 43 91 3c 0a;0x600
05:33:13.799;fe 01 2a 91 e1 42 f5 5d 6a 37 0a;0x601
05:33:13.802;fe 02 14 65 b9 41 1a e8 e8 41 0a;0x602
05:33:13.804;fe 30 30 02 84 82 1e 02 00 00 0a;0x630
05:33:13.807;fe 60 30 02 b4 11 00 00 00 00 0a;0x660
05:33:13.809;fe 61 00 00 00 00 00 00 00 01 0a;0x661
05:33:13.830;ff 00 00 10 00 00 eb 0b 00 00 0a;0x700
05:33:13.835;ff 01 3c 0c 00 00 65 02 e6 00 0a;0x701
05:33:13.838;ff 02 c1 0f b7 0f b1 0f ba 0f 0a;0x702
05:33:13.842;ff 03 b7 0f b8 0f d6 0f 00 80 0a;0x703
05:33:13.846;ff 04 48 0c 00 00 4c 02 e6 00 0a;0x704
05:33:13.848;ff 05 b7 0f ba 0f bb 0f bf 0f 0a;0x705
05:33:13.853;ff 06 b8 0f c1 0f b6 0f 00 80 0a;0x706
